4.122,high
1.874,low
1.873,low
4.553,high
4.149,high
2.031,low
4.125,high
4.134,high
4.084,high
4.227,high
2.365,medium
4.027,high
4.16,high
2.319,medium
2.051,low
2.474,medium
4.15,high
2.149,low
4.158,high
2.629,low
1.845,low
2.802,medium
2.583,medium
4.382,high
4.185,high
1.959,low
2.266,medium
4.17,high
2.429,medium
2.282,low
1.992,low
1.952,low
2.366,medium
1.9,low
2.011,low
4.068,high
2.668,medium
2.271,medium
2.411,medium
2.337,medium
4.029,high
2.258,medium
4.278,high
1.952,low
2.694,medium
4.232,high
4.177,high
1.932,low
1.888,low
4.123,high
1.969,low
2.675,medium
2.599,medium
2.224,medium
4.188,high
4.133,high
2.559,medium
4.648,high
1.879,low
4.414,high
1.855,low
4.834,high
2.291,medium
2.559,medium
2.495,medium
2.217,medium
4.228,high
1.932,low
4.173,high
4.088,high
1.828,low
4.226,high
1.932,low
4.293,high
4.241,high
2,low
4.083,high
2.58,medium
4.134,high
1.847,low
4.24,high
4.091,high
4.824,high
1.96,low
2.325,medium
1.967,low
4.253,high
2.352,medium
2.039,low
2.074,low
1.931,low
2.017,low
1.857,low
1.936,low
2.315,medium
4.266,high
2.27,medium
1.949,low
2.768,medium
2.009,low
1.924,low
4.01,high
2.172,medium
2.489,medium
4.204,high
2.449,medium
2.395,medium
2.433,medium
2.752,low
1.93,low
4.617,high
4.24,high
1.923,low
2.355,medium
2.529,low
4.181,high
4.162,high
4.246,high
2.705,medium
4.033,high
2.027,low
2.247,medium
4.251,high
4.492,high
4.042,high
4.144,high
4.166,high
2.098,low
1.911,low
2.143,low
2.049,low
4.042,high
2.239,medium
4.648,high
4.66,high
2.297,medium
4.861,high
4.361,high
2.627,medium
1.849,low
2.346,medium
1.907,low
2.014,low
4.354,high
2.406,low
2.318,medium
4.166,high
4.181,high
2.593,medium
1.954,low
4.038,high
1.834,low
2.162,low
2.243,medium
2.032,low
2.077,low
2.741,medium
2.235,medium
4.911,high
4.088,high
2.362,medium
2.682,medium
1.893,low
2.297,medium
4.416,high
2.276,medium
1.862,low
2.351,medium
2.732,medium
1.857,low
2.188,medium
2.158,medium
4.086,high
1.832,low
4.546,high
2.251,low
1.903,low
2.143,medium
2.006,low
4.015,high
2.065,low
2.265,medium
1.984,low
4.248,high
2.743,medium
4.064,high
4.13,high
2.257,medium
2.68,medium
2.322,medium
2.018,low
4.366,high
2.271,medium
2.054,low
2.056,low
2.237,medium
2.112,low
2.02,low
4.279,high
1.892,low
2.443,medium
2.373,medium
4.453,high
2.564,medium
2.511,low
4.683,high
2.126,low
2.18,medium
2.465,medium
4.133,high
4.048,high
2.009,low
2.178,medium
2.483,medium
2.254,medium
2.196,low
2.343,medium
2.498,medium
1.929,low
2.296,medium
1.917,low
4.198,high
1.779,low
2.255,medium
2.032,low
1.968,low
4.512,high
2.385,low
2.642,medium
2.505,medium
4.052,high
2.048,low
2.706,medium
2.026,low
1.957,low
1.81,low
2.198,low
2.298,medium
1.951,low
2.521,medium
2.277,medium
2.363,low
2.033,low
1.827,low
2.335,low
4.043,high
1.948,low
2.235,medium
4.025,high
2.277,medium
2.215,low
4.121,high
2.25,medium
2.319,medium
2.211,medium
2.474,medium
2.182,low
1.865,low
2.311,medium
2.224,low
2.471,medium
4.015,high
4.037,high
2.402,medium
1.843,low
2.036,low
4.108,high
4.31,high
1.885,low
2.751,medium
1.929,low
2.417,medium
4.493,high
2.124,low
2.196,low
2.251,medium
2.474,medium
4.431,high
2.255,medium
4.892,high
2.088,low
2.385,medium
2.591,medium
1.972,low
2.042,low
2.291,medium
2.276,medium
2.036,low
2.422,medium
2.168,low
3.984,high
4.654,high
4.148,high
2.559,medium
2.025,low
1.883,low
2.223,medium
1.862,low
2.26,low
2.971,medium
2.585,medium
4.005,high
1.793,low
2.585,medium
2.298,medium
1.949,low
2.354,medium
2.279,medium
1.786,low
5.28,high
1.917,low
4.717,high
2.03,low
2.852,medium
2.477,medium
2.832,medium
2.049,low
1.944,low
4.113,high
1.976,low
2.06,low
1.969,low
1.931,low
2.069,low
1.908,low
4.29,high
4.789,high
2.535,medium
2.531,medium
2.445,medium
4.178,high
1.799,low
2.308,medium
4.279,high
2.766,medium
2.166,low
2.403,medium
2.383,medium
2.205,medium
2.699,medium
4.139,high
2.168,low
2.071,low
2.527,medium
4.14,high
2.319,medium
1.864,low
2.685,medium
2.143,medium
2.278,medium
4.23,high
2.278,low
1.909,low
2.138,low
2.244,medium
1.901,low
4.084,high
2.306,medium
2.18,medium
2.138,medium
1.993,low
1.887,low
2.254,medium
2.332,medium
4.066,high
2.02,low
4.058,high
4.145,high
4.381,high
2.023,low
1.88,low
2.217,medium
5.051,high
1.841,low
2.239,medium
1.986,low
4.075,high
4.268,high
2.543,medium
1.974,low
4.495,high
2.034,low
1.932,low
2.2,medium
2.468,medium
2.205,medium
2.325,medium
2.307,medium
4.542,high
1.918,low
2.363,medium
2.108,low
1.784,low
2.287,medium
2.214,medium
1.889,low
4.069,high
3.998,high
2.085,low
1.908,low
2.084,low
2.333,medium
2.245,medium
1.921,low
1.878,low
2.662,medium
1.837,low
2.372,medium
2.438,medium
1.951,low
2.278,medium
1.903,low
2.719,medium
4.226,high
5.276,high
1.791,low
2.351,medium
2.117,low
4.08,high
1.829,low
1.816,low
4.001,high
2.599,medium
4.227,high
4.174,high
2.064,low
2.312,medium
4.285,high
4.027,high
1.991,low
1.911,low
4.331,high
2.042,low
4.06,high
2.377,medium
2.42,medium
2.417,low
1.89,low
1.933,low
1.955,low
1.941,low
2.393,medium
2.221,medium
1.918,low
2.439,low
2.374,medium
2.049,low
1.945,low
2.504,medium
2.2,medium
4.213,high
2.167,medium
4.259,high
4.709,high
2.24,medium
4.829,high
2.381,medium
2.203,medium
2.418,medium
5.023,high
1.831,low
1.876,low
2.02,low
4.16,high
2.295,medium
2.124,low
1.83,low
1.941,low
2.093,low
4.158,high
2.338,medium
1.902,low
4.172,high
2.148,medium
4.469,high
2.015,low
2.289,medium
1.969,low
2.173,low
4.108,high
2.852,medium
2.283,medium
4.321,high
4.061,high
2.7,medium
2.248,low
1.82,low
2.169,medium
4.267,high
4.162,high
2.538,medium
2.168,medium
2.408,medium
4.423,high
4.133,high
1.988,low
2.224,medium
2.324,medium
